Module path:  Environments.NS_Reco NS_Reco
Dynamically loaded from:  <class 'Environments.NS_Reco.NS_Reco'>
Reward Amplitudes: [4.17022005e-01 7.20324493e-01 1.14374817e-04 3.02332573e-01
 1.46755891e-01] :: Avg 0.317309867282206 
Module path:  Src.Algorithms.ProOLS ProOLS
Dynamically loaded from:  <class 'Src.Algorithms.ProOLS.ProOLS'>
=====Configurations=====
 Namespace(NN_basis_dim='32', Policy_basis_dim='32', actor_lr=0.002855902814944507, algo_name='ProOLS', base=0, batch_size=1000, buffer_size=1000, debug=True, delta=1, entropy_lambda=0.053752942888962034, env_name='NS_Reco', experiment='NS_2d_', extrapolator_basis='Fourier', folder_suffix='Default', fourier_coupled=True, fourier_k=7, fourier_order=3, gamma=0.99, gauss_std=1.5, gpu=0, hyper='default', importance_clip=5.0, inc=1, log_output='term_file', max_episodes=1000, max_inner=30, max_steps=500, optim='rmsprop', oracle=-1, raw_basis=True, restore=False, save_count=100, save_model=True, seed=0, speed=2, state_lr=0.001, summary=True, swarm=False, timestamp='5|30|14:29:57')
Actions space: 5 :: State space: 1
State Low: tensor([0.]) :: State High: tensor([1.])
State features:  [('dummy_param', torch.Size([1]))]
Policy:  [('fc1.weight', torch.Size([5, 1])), ('fc1.bias', torch.Size([5]))]
0 :: Rewards -0.025 :: steps: 0.10 :: Time: 0.001(0.00878/step) :: Entropy : 0.000 :: Grads : [[], []]
250 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.015(0.01470/step) :: Entropy : 0.000 :: Grads : [[3.5518684e-07, 3.5518687e-07], []]
260 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.015(0.01468/step) :: Entropy : 0.000 :: Grads : [[4.0351762e-07, 4.0351773e-07], []]
270 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.015(0.01521/step) :: Entropy : 0.000 :: Grads : [[9.1720733e-07, 9.172074e-07], []]
280 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.015(0.01498/step) :: Entropy : 0.000 :: Grads : [[1.0309277e-08, 1.0309326e-08], []]
290 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.015(0.01502/step) :: Entropy : 0.000 :: Grads : [[8.2752905e-07, 8.2752905e-07], []]
300 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.015(0.01509/step) :: Entropy : 0.000 :: Grads : [[7.810901e-07, 7.810901e-07], []]
310 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.015(0.01533/step) :: Entropy : 0.000 :: Grads : [[9.315013e-07, 9.315014e-07], []]
320 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.015(0.01542/step) :: Entropy : 0.000 :: Grads : [[2.828325e-06, 2.8283253e-06], []]
330 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.016(0.01579/step) :: Entropy : 0.000 :: Grads : [[1.0493638e-05, 1.0493636e-05], []]
340 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.016(0.01608/step) :: Entropy : 0.000 :: Grads : [[3.7438772e-06, 3.7438763e-06], []]
350 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.016(0.01619/step) :: Entropy : 0.000 :: Grads : [[4.6018387e-05, 4.6018387e-05], []]
360 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.016(0.01632/step) :: Entropy : 0.000 :: Grads : [[2.6877751e-05, 2.6877751e-05], []]
370 :: Rewards -4.966 :: steps: 1.00 :: Time: 0.016(0.01644/step) :: Entropy : 0.000 :: Grads : [[4.26415e-05, 4.26415e-05], []]
380 :: Rewards -5.435 :: steps: 1.00 :: Time: 0.017(0.01656/step) :: Entropy : 0.000 :: Grads : [[0.00010294103, 0.00010294104], []]
390 :: Rewards -6.296 :: steps: 1.00 :: Time: 0.017(0.01665/step) :: Entropy : 0.000 :: Grads : [[0.00095276814, 0.00095276826], []]
400 :: Rewards -7.514 :: steps: 1.00 :: Time: 0.017(0.01675/step) :: Entropy : 0.000 :: Grads : [[0.00095492613, 0.00095492566], []]
410 :: Rewards -9.113 :: steps: 1.00 :: Time: 0.017(0.01698/step) :: Entropy : 0.000 :: Grads : [[0.0003389529, 0.00033895328], []]
420 :: Rewards -11.150 :: steps: 1.00 :: Time: 0.018(0.01760/step) :: Entropy : 0.000 :: Grads : [[0.0028618523, 0.0028618516], []]
430 :: Rewards -13.443 :: steps: 1.00 :: Time: 0.018(0.01754/step) :: Entropy : 0.000 :: Grads : [[0.015963139, 0.015963137], []]
440 :: Rewards -14.901 :: steps: 1.00 :: Time: 0.018(0.01761/step) :: Entropy : 0.000 :: Grads : [[0.005724571, 0.0057245777], []]
450 :: Rewards -15.551 :: steps: 1.00 :: Time: 0.018(0.01781/step) :: Entropy : 0.000 :: Grads : [[0.013221269, 0.013221267], []]
460 :: Rewards -15.913 :: steps: 1.00 :: Time: 0.018(0.01768/step) :: Entropy : 0.000 :: Grads : [[0.0042417175, 0.004241716], []]
470 :: Rewards -15.913 :: steps: 1.00 :: Time: 0.018(0.01772/step) :: Entropy : 0.000 :: Grads : [[0.0013794003, 0.0013794003], []]
480 :: Rewards -15.996 :: steps: 1.00 :: Time: 0.018(0.01791/step) :: Entropy : 0.000 :: Grads : [[0.0041125594, 0.0041125594], []]
490 :: Rewards -15.996 :: steps: 1.00 :: Time: 0.018(0.01791/step) :: Entropy : 0.000 :: Grads : [[0.00031798793, 0.00031798775], []]
500 :: Rewards -15.996 :: steps: 1.00 :: Time: 0.018(0.01814/step) :: Entropy : 0.000 :: Grads : [[0.0011846967, 0.0011846967], []]
510 :: Rewards -15.996 :: steps: 1.00 :: Time: 0.018(0.01816/step) :: Entropy : 0.000 :: Grads : [[0.0007802158, 0.00078021566], []]
520 :: Rewards -16.003 :: steps: 1.00 :: Time: 0.018(0.01834/step) :: Entropy : 0.000 :: Grads : [[0.0017563065, 0.001756307], []]
530 :: Rewards -16.070 :: steps: 1.00 :: Time: 0.018(0.01849/step) :: Entropy : 0.000 :: Grads : [[0.00798239, 0.00798239], []]
540 :: Rewards -16.965 :: steps: 1.00 :: Time: 0.019(0.01877/step) :: Entropy : 0.000 :: Grads : [[0.0040461114, 0.0040461123], []]
550 :: Rewards -17.401 :: steps: 1.00 :: Time: 0.019(0.01865/step) :: Entropy : 0.000 :: Grads : [[0.010546535, 0.010546539], []]
560 :: Rewards -17.849 :: steps: 1.00 :: Time: 0.019(0.01869/step) :: Entropy : 0.000 :: Grads : [[0.008124088, 0.008124088], []]
570 :: Rewards -18.231 :: steps: 1.00 :: Time: 0.019(0.01867/step) :: Entropy : 0.000 :: Grads : [[0.0036642384, 0.0036642414], []]
580 :: Rewards -18.415 :: steps: 1.00 :: Time: 0.019(0.01883/step) :: Entropy : 0.000 :: Grads : [[0.0020523418, 0.0020523414], []]
590 :: Rewards -18.735 :: steps: 1.00 :: Time: 0.019(0.01886/step) :: Entropy : 0.000 :: Grads : [[0.00085891597, 0.0008589152], []]
600 :: Rewards -19.015 :: steps: 1.00 :: Time: 0.019(0.01888/step) :: Entropy : 0.000 :: Grads : [[0.003118336, 0.003118337], []]
610 :: Rewards -19.135 :: steps: 1.00 :: Time: 0.019(0.01886/step) :: Entropy : 0.000 :: Grads : [[0.0004752006, 0.00047520065], []]
620 :: Rewards -19.135 :: steps: 1.00 :: Time: 0.019(0.01903/step) :: Entropy : 0.000 :: Grads : [[0.001576839, 0.0015768394], []]
630 :: Rewards -19.453 :: steps: 1.00 :: Time: 0.019(0.01907/step) :: Entropy : 0.000 :: Grads : [[0.0019300852, 0.001930085], []]
640 :: Rewards -20.515 :: steps: 1.00 :: Time: 0.019(0.01922/step) :: Entropy : 0.000 :: Grads : [[0.0017411269, 0.0017411268], []]
650 :: Rewards -20.883 :: steps: 1.00 :: Time: 0.019(0.01908/step) :: Entropy : 0.000 :: Grads : [[0.0014185961, 0.001418596], []]
660 :: Rewards -20.883 :: steps: 1.00 :: Time: 0.019(0.01932/step) :: Entropy : 0.000 :: Grads : [[0.0014002686, 0.0014002685], []]
670 :: Rewards -21.013 :: steps: 1.00 :: Time: 0.019(0.01935/step) :: Entropy : 0.000 :: Grads : [[0.0028312355, 0.0028312353], []]
680 :: Rewards -21.141 :: steps: 1.00 :: Time: 0.019(0.01948/step) :: Entropy : 0.000 :: Grads : [[0.0018882093, 0.00188821], []]
690 :: Rewards -21.382 :: steps: 1.00 :: Time: 0.020(0.01955/step) :: Entropy : 0.000 :: Grads : [[0.0027766381, 0.00277664], []]
700 :: Rewards -22.287 :: steps: 1.00 :: Time: 0.020(0.01961/step) :: Entropy : 0.000 :: Grads : [[0.0023727184, 0.0023727182], []]
710 :: Rewards -22.405 :: steps: 1.00 :: Time: 0.020(0.01971/step) :: Entropy : 0.000 :: Grads : [[0.0025686016, 0.0025686007], []]
720 :: Rewards -23.662 :: steps: 1.00 :: Time: 0.020(0.01982/step) :: Entropy : 0.000 :: Grads : [[0.005106226, 0.005106226], []]
730 :: Rewards -24.143 :: steps: 1.00 :: Time: 0.020(0.01991/step) :: Entropy : 0.000 :: Grads : [[0.0037403353, 0.0037403353], []]
740 :: Rewards -24.159 :: steps: 1.00 :: Time: 0.020(0.02008/step) :: Entropy : 0.000 :: Grads : [[0.004179287, 0.004179287], []]
750 :: Rewards -24.768 :: steps: 1.00 :: Time: 0.020(0.02004/step) :: Entropy : 0.000 :: Grads : [[0.002118509, 0.0021185095], []]
760 :: Rewards -24.793 :: steps: 1.00 :: Time: 0.020(0.02017/step) :: Entropy : 0.000 :: Grads : [[0.0018607769, 0.0018607747], []]
770 :: Rewards -25.197 :: steps: 1.00 :: Time: 0.020(0.02040/step) :: Entropy : 0.000 :: Grads : [[0.005637146, 0.0056371475], []]
780 :: Rewards -26.009 :: steps: 1.00 :: Time: 0.021(0.02054/step) :: Entropy : 0.000 :: Grads : [[0.0012831113, 0.0012831094], []]
790 :: Rewards -26.110 :: steps: 1.00 :: Time: 0.021(0.02053/step) :: Entropy : 0.000 :: Grads : [[0.00062790606, 0.0006279048], []]
800 :: Rewards -26.246 :: steps: 1.00 :: Time: 0.020(0.02050/step) :: Entropy : 0.000 :: Grads : [[0.0012968292, 0.0012968297], []]
810 :: Rewards -26.405 :: steps: 1.00 :: Time: 0.021(0.02069/step) :: Entropy : 0.000 :: Grads : [[0.0011892796, 0.0011892797], []]
820 :: Rewards -26.500 :: steps: 1.00 :: Time: 0.021(0.02080/step) :: Entropy : 0.000 :: Grads : [[0.008635996, 0.008635998], []]
830 :: Rewards -27.177 :: steps: 1.00 :: Time: 0.021(0.02145/step) :: Entropy : 0.000 :: Grads : [[0.0034044515, 0.003404452], []]
840 :: Rewards -28.456 :: steps: 1.00 :: Time: 0.021(0.02111/step) :: Entropy : 0.000 :: Grads : [[0.0047874725, 0.0047874725], []]
850 :: Rewards -29.349 :: steps: 1.00 :: Time: 0.025(0.02498/step) :: Entropy : 0.000 :: Grads : [[0.0057084775, 0.005708477], []]
860 :: Rewards -30.743 :: steps: 1.00 :: Time: 0.025(0.02463/step) :: Entropy : 0.000 :: Grads : [[0.009540988, 0.009540989], []]
870 :: Rewards -31.423 :: steps: 1.00 :: Time: 0.022(0.02239/step) :: Entropy : 0.000 :: Grads : [[0.013523363, 0.013523363], []]
880 :: Rewards -31.516 :: steps: 1.00 :: Time: 0.022(0.02162/step) :: Entropy : 0.000 :: Grads : [[0.011446161, 0.011446161], []]
890 :: Rewards -31.715 :: steps: 1.00 :: Time: 0.021(0.02113/step) :: Entropy : 0.000 :: Grads : [[0.004986414, 0.004986413], []]
900 :: Rewards -33.024 :: steps: 1.00 :: Time: 0.021(0.02143/step) :: Entropy : 0.000 :: Grads : [[0.0059947493, 0.005994756], []]
910 :: Rewards -35.015 :: steps: 1.00 :: Time: 0.021(0.02112/step) :: Entropy : 0.000 :: Grads : [[0.005986314, 0.0059863115], []]
920 :: Rewards -36.201 :: steps: 1.00 :: Time: 0.021(0.02120/step) :: Entropy : 0.000 :: Grads : [[0.0071571665, 0.0071571665], []]
930 :: Rewards -37.295 :: steps: 1.00 :: Time: 0.021(0.02126/step) :: Entropy : 0.000 :: Grads : [[0.0023222584, 0.0023222596], []]
940 :: Rewards -37.897 :: steps: 1.00 :: Time: 0.021(0.02123/step) :: Entropy : 0.000 :: Grads : [[0.006075029, 0.0060750316], []]
950 :: Rewards -38.519 :: steps: 1.00 :: Time: 0.021(0.02128/step) :: Entropy : 0.000 :: Grads : [[0.006407173, 0.0064071813], []]
960 :: Rewards -38.519 :: steps: 1.00 :: Time: 0.021(0.02137/step) :: Entropy : 0.000 :: Grads : [[0.0009613988, 0.0009613989], []]
970 :: Rewards -38.519 :: steps: 1.00 :: Time: 0.021(0.02129/step) :: Entropy : 0.000 :: Grads : [[0.0045415745, 0.004541573], []]
980 :: Rewards -38.519 :: steps: 1.00 :: Time: 0.021(0.02134/step) :: Entropy : 0.000 :: Grads : [[0.0015112226, 0.0015112229], []]
990 :: Rewards -39.142 :: steps: 1.00 :: Time: 0.021(0.02130/step) :: Entropy : 0.000 :: Grads : [[0.00055882556, 0.00055882597], []]
999 :: Rewards -39.142 :: steps: 0.90 :: Time: 0.020(0.02168/step) :: Entropy : 0.000 :: Grads : [[0.0002894217, 0.00028942182], []]
Total time taken: 40.67931604385376
