Module path:  Environments.NS_Reco NS_Reco
Dynamically loaded from:  <class 'Environments.NS_Reco.NS_Reco'>
Reward Amplitudes: [4.17022005e-01 7.20324493e-01 1.14374817e-04 3.02332573e-01
 1.46755891e-01] :: Avg 0.317309867282206 
Module path:  Src.Algorithms.ProOLS ProOLS
Dynamically loaded from:  <class 'Src.Algorithms.ProOLS.ProOLS'>
=====Configurations=====
 Namespace(NN_basis_dim='32', Policy_basis_dim='32', actor_lr=0.006330904637554062, algo_name='ProOLS', base=0, batch_size=1000, buffer_size=1000, debug=True, delta=1, entropy_lambda=0.05062512794041892, env_name='NS_Reco', experiment='NS_4d_', extrapolator_basis='Fourier', folder_suffix='Default', fourier_coupled=True, fourier_k=5, fourier_order=3, gamma=0.99, gauss_std=1.5, gpu=0, hyper='default', importance_clip=5.0, inc=1, log_output='term_file', max_episodes=1000, max_inner=20, max_steps=500, optim='rmsprop', oracle=-1, raw_basis=True, restore=False, save_count=100, save_model=True, seed=0, speed=4, state_lr=0.001, summary=True, swarm=False, timestamp='5|30|14:32:13')
Actions space: 5 :: State space: 1
State Low: tensor([0.]) :: State High: tensor([1.])
State features:  [('dummy_param', torch.Size([1]))]
Policy:  [('fc1.weight', torch.Size([5, 1])), ('fc1.bias', torch.Size([5]))]
0 :: Rewards -0.025 :: steps: 0.10 :: Time: 0.001(0.00586/step) :: Entropy : 0.000 :: Grads : [[], []]
380 :: Rewards -39.145 :: steps: 1.00 :: Time: 0.011(0.01126/step) :: Entropy : 0.000 :: Grads : [[0.0014313873, 0.0014313866], []]
390 :: Rewards -39.562 :: steps: 1.00 :: Time: 0.011(0.01129/step) :: Entropy : 0.000 :: Grads : [[0.0006318732, 0.0006318732], []]
400 :: Rewards -40.122 :: steps: 1.00 :: Time: 0.011(0.01133/step) :: Entropy : 0.000 :: Grads : [[0.0030236538, 0.003023653], []]
410 :: Rewards -40.297 :: steps: 1.00 :: Time: 0.012(0.01160/step) :: Entropy : 0.000 :: Grads : [[0.0029176108, 0.0029176115], []]
420 :: Rewards -40.335 :: steps: 1.00 :: Time: 0.012(0.01175/step) :: Entropy : 0.000 :: Grads : [[0.004554053, 0.004554051], []]
430 :: Rewards -41.023 :: steps: 1.00 :: Time: 0.012(0.01182/step) :: Entropy : 0.000 :: Grads : [[0.0062410505, 0.0062410487], []]
440 :: Rewards -41.245 :: steps: 1.00 :: Time: 0.012(0.01189/step) :: Entropy : 0.000 :: Grads : [[0.0008830108, 0.00088300975], []]
450 :: Rewards -41.466 :: steps: 1.00 :: Time: 0.012(0.01194/step) :: Entropy : 0.000 :: Grads : [[0.0011189223, 0.00111892], []]
460 :: Rewards -41.837 :: steps: 1.00 :: Time: 0.012(0.01193/step) :: Entropy : 0.000 :: Grads : [[0.0068016453, 0.006801645], []]
470 :: Rewards -41.837 :: steps: 1.00 :: Time: 0.012(0.01199/step) :: Entropy : 0.000 :: Grads : [[0.0037798733, 0.0037798746], []]
480 :: Rewards -44.063 :: steps: 1.00 :: Time: 0.012(0.01204/step) :: Entropy : 0.000 :: Grads : [[0.000818412, 0.00081841217], []]
490 :: Rewards -45.199 :: steps: 1.00 :: Time: 0.012(0.01212/step) :: Entropy : 0.000 :: Grads : [[0.00024074627, 0.00024074619], []]
500 :: Rewards -45.725 :: steps: 1.00 :: Time: 0.012(0.01212/step) :: Entropy : 0.000 :: Grads : [[0.00020122524, 0.00020122528], []]
510 :: Rewards -45.725 :: steps: 1.00 :: Time: 0.012(0.01217/step) :: Entropy : 0.000 :: Grads : [[6.218058e-05, 6.218059e-05], []]
520 :: Rewards -45.725 :: steps: 1.00 :: Time: 0.012(0.01239/step) :: Entropy : 0.000 :: Grads : [[2.0956508e-05, 2.0956504e-05], []]
530 :: Rewards -45.725 :: steps: 1.00 :: Time: 0.012(0.01249/step) :: Entropy : 0.000 :: Grads : [[1.2191184e-05, 1.2191172e-05], []]
540 :: Rewards -45.725 :: steps: 1.00 :: Time: 0.013(0.01252/step) :: Entropy : 0.000 :: Grads : [[1.021032e-05, 1.0210305e-05], []]
550 :: Rewards -45.725 :: steps: 1.00 :: Time: 0.013(0.01257/step) :: Entropy : 0.000 :: Grads : [[2.4635226e-06, 2.4635224e-06], []]
560 :: Rewards -45.725 :: steps: 1.00 :: Time: 0.013(0.01257/step) :: Entropy : 0.000 :: Grads : [[1.5495052e-06, 1.5495046e-06], []]
570 :: Rewards -45.725 :: steps: 1.00 :: Time: 0.013(0.01261/step) :: Entropy : 0.000 :: Grads : [[5.9217456e-07, 5.921723e-07], []]
580 :: Rewards -45.725 :: steps: 1.00 :: Time: 0.013(0.01282/step) :: Entropy : 0.000 :: Grads : [[7.826177e-08, 7.826172e-08], []]
590 :: Rewards -45.725 :: steps: 1.00 :: Time: 0.013(0.01283/step) :: Entropy : 0.000 :: Grads : [[2.6343264e-07, 2.634331e-07], []]
600 :: Rewards -45.725 :: steps: 1.00 :: Time: 0.013(0.01280/step) :: Entropy : 0.000 :: Grads : [[2.8388828e-07, 2.8388925e-07], []]
610 :: Rewards -45.725 :: steps: 1.00 :: Time: 0.013(0.01282/step) :: Entropy : 0.000 :: Grads : [[2.7415328e-07, 2.7415368e-07], []]
620 :: Rewards -45.725 :: steps: 1.00 :: Time: 0.013(0.01277/step) :: Entropy : 0.000 :: Grads : [[1.0647966e-06, 1.0647963e-06], []]
630 :: Rewards -45.725 :: steps: 1.00 :: Time: 0.013(0.01290/step) :: Entropy : 0.000 :: Grads : [[8.63102e-06, 8.6310165e-06], []]
640 :: Rewards -46.104 :: steps: 1.00 :: Time: 0.013(0.01289/step) :: Entropy : 0.000 :: Grads : [[5.5398054e-05, 5.5398046e-05], []]
650 :: Rewards -47.577 :: steps: 1.00 :: Time: 0.013(0.01298/step) :: Entropy : 0.000 :: Grads : [[0.016597722, 0.016597707], []]
660 :: Rewards -50.524 :: steps: 1.00 :: Time: 0.013(0.01306/step) :: Entropy : 0.000 :: Grads : [[0.009683267, 0.009683262], []]
670 :: Rewards -53.302 :: steps: 1.00 :: Time: 0.013(0.01321/step) :: Entropy : 0.000 :: Grads : [[0.006860082, 0.006860075], []]
680 :: Rewards -55.086 :: steps: 1.00 :: Time: 0.013(0.01332/step) :: Entropy : 0.000 :: Grads : [[0.004921011, 0.004921008], []]
690 :: Rewards -55.439 :: steps: 1.00 :: Time: 0.013(0.01341/step) :: Entropy : 0.000 :: Grads : [[0.0021026023, 0.002102599], []]
700 :: Rewards -55.439 :: steps: 1.00 :: Time: 0.013(0.01336/step) :: Entropy : 0.000 :: Grads : [[0.0064613423, 0.0064613423], []]
710 :: Rewards -55.439 :: steps: 1.00 :: Time: 0.013(0.01347/step) :: Entropy : 0.000 :: Grads : [[0.00035485002, 0.00035484866], []]
720 :: Rewards -55.551 :: steps: 1.00 :: Time: 0.014(0.01375/step) :: Entropy : 0.000 :: Grads : [[0.00015367838, 0.00015367992], []]
730 :: Rewards -55.551 :: steps: 1.00 :: Time: 0.013(0.01347/step) :: Entropy : 0.000 :: Grads : [[0.0021180096, 0.0021180108], []]
740 :: Rewards -55.768 :: steps: 1.00 :: Time: 0.013(0.01347/step) :: Entropy : 0.000 :: Grads : [[0.006111659, 0.0061116577], []]
750 :: Rewards -55.873 :: steps: 1.00 :: Time: 0.014(0.01356/step) :: Entropy : 0.000 :: Grads : [[0.00096480874, 0.0009648097], []]
760 :: Rewards -55.963 :: steps: 1.00 :: Time: 0.014(0.01358/step) :: Entropy : 0.000 :: Grads : [[0.0022827417, 0.0022827392], []]
770 :: Rewards -55.963 :: steps: 1.00 :: Time: 0.014(0.01375/step) :: Entropy : 0.000 :: Grads : [[0.0029481133, 0.0029481126], []]
780 :: Rewards -55.963 :: steps: 1.00 :: Time: 0.014(0.01382/step) :: Entropy : 0.000 :: Grads : [[0.00029665453, 0.00029665517], []]
790 :: Rewards -56.163 :: steps: 1.00 :: Time: 0.014(0.01388/step) :: Entropy : 0.000 :: Grads : [[0.009647254, 0.00964724], []]
800 :: Rewards -56.272 :: steps: 1.00 :: Time: 0.014(0.01391/step) :: Entropy : 0.000 :: Grads : [[0.006060377, 0.0060603777], []]
810 :: Rewards -56.455 :: steps: 1.00 :: Time: 0.014(0.01394/step) :: Entropy : 0.000 :: Grads : [[0.005834101, 0.005834102], []]
820 :: Rewards -56.534 :: steps: 1.00 :: Time: 0.014(0.01402/step) :: Entropy : 0.000 :: Grads : [[0.008462405, 0.008462412], []]
830 :: Rewards -56.607 :: steps: 1.00 :: Time: 0.014(0.01440/step) :: Entropy : 0.000 :: Grads : [[0.0004613304, 0.0004613321], []]
840 :: Rewards -56.715 :: steps: 1.00 :: Time: 0.014(0.01415/step) :: Entropy : 0.000 :: Grads : [[0.0024247838, 0.0024247833], []]
850 :: Rewards -57.198 :: steps: 1.00 :: Time: 0.014(0.01429/step) :: Entropy : 0.000 :: Grads : [[0.00859974, 0.00859974], []]
860 :: Rewards -58.223 :: steps: 1.00 :: Time: 0.014(0.01416/step) :: Entropy : 0.000 :: Grads : [[0.0029521054, 0.002952105], []]
870 :: Rewards -59.724 :: steps: 1.00 :: Time: 0.020(0.01993/step) :: Entropy : 0.000 :: Grads : [[0.0105138915, 0.010513896], []]
880 :: Rewards -61.653 :: steps: 1.00 :: Time: 0.014(0.01439/step) :: Entropy : 0.000 :: Grads : [[0.008591, 0.008590999], []]
890 :: Rewards -63.861 :: steps: 1.00 :: Time: 0.016(0.01575/step) :: Entropy : 0.000 :: Grads : [[0.0022148371, 0.0022148383], []]
900 :: Rewards -66.051 :: steps: 1.00 :: Time: 0.015(0.01518/step) :: Entropy : 0.000 :: Grads : [[0.0053782538, 0.005378253], []]
910 :: Rewards -69.512 :: steps: 1.00 :: Time: 0.014(0.01437/step) :: Entropy : 0.000 :: Grads : [[0.003381652, 0.0033816516], []]
920 :: Rewards -72.577 :: steps: 1.00 :: Time: 0.014(0.01431/step) :: Entropy : 0.000 :: Grads : [[0.0031036264, 0.0031036274], []]
930 :: Rewards -76.034 :: steps: 1.00 :: Time: 0.014(0.01424/step) :: Entropy : 0.000 :: Grads : [[0.00041183736, 0.00041183634], []]
940 :: Rewards -79.984 :: steps: 1.00 :: Time: 0.014(0.01436/step) :: Entropy : 0.000 :: Grads : [[0.0017625701, 0.0017625696], []]
950 :: Rewards -84.085 :: steps: 1.00 :: Time: 0.014(0.01431/step) :: Entropy : 0.000 :: Grads : [[0.0145153105, 0.014515309], []]
960 :: Rewards -88.081 :: steps: 1.00 :: Time: 0.014(0.01429/step) :: Entropy : 0.000 :: Grads : [[0.010823925, 0.010823923], []]
970 :: Rewards -89.706 :: steps: 1.00 :: Time: 0.014(0.01431/step) :: Entropy : 0.000 :: Grads : [[0.0018704999, 0.0018704981], []]
980 :: Rewards -90.847 :: steps: 1.00 :: Time: 0.014(0.01436/step) :: Entropy : 0.000 :: Grads : [[0.00095466943, 0.00095466943], []]
990 :: Rewards -90.847 :: steps: 1.00 :: Time: 0.014(0.01428/step) :: Entropy : 0.000 :: Grads : [[0.00064592296, 0.0006459229], []]
999 :: Rewards -90.847 :: steps: 0.90 :: Time: 0.013(0.01451/step) :: Entropy : 0.000 :: Grads : [[0.00018502008, 0.00018502024], []]
Total time taken: 45.700477838516235
